training set data:
utt_id: rms_a0001, utt_len: 597
utt_id: rms_a0002, utt_len: 679
utt_id: rms_a0003, utt_len: 645
utt_id: rms_a0004, utt_len: 445
utt_id: rms_a0005, utt_len: 279
utt_id: rms_a0006, utt_len: 577
utt_id: rms_a0007, utt_len: 569
utt_id: rms_a0008, utt_len: 457
utt_id: rms_a0009, utt_len: 613
utt_id: rms_a0010, utt_len: 639
utt_id: rms_a0011, utt_len: 637
utt_id: rms_a0012, utt_len: 609
utt_id: rms_a0013, utt_len: 713
utt_id: rms_a0014, utt_len: 641
utt_id: rms_a0015, utt_len: 379
utt_id: rms_a0016, utt_len: 725
utt_id: rms_a0018, utt_len: 313
utt_id: rms_a0020, utt_len: 631
utt_id: rms_a0021, utt_len: 559
utt_id: rms_a0022, utt_len: 917
utt_id: rms_a0023, utt_len: 1071
utt_id: rms_a0024, utt_len: 785
utt_id: rms_a0025, utt_len: 653
utt_id: rms_a0026, utt_len: 575
utt_id: rms_a0027, utt_len: 813
utt_id: rms_a0030, utt_len: 301
utt_id: rms_a0031, utt_len: 427
utt_id: rms_a0032, utt_len: 825
utt_id: rms_a0033, utt_len: 801
utt_id: rms_a0034, utt_len: 667
utt_id: rms_a0035, utt_len: 825
utt_id: rms_a0036, utt_len: 381
utt_id: rms_a0038, utt_len: 407
utt_id: rms_a0039, utt_len: 567
utt_id: rms_a0040, utt_len: 563
utt_id: rms_a0041, utt_len: 467
utt_id: rms_a0042, utt_len: 581
utt_id: rms_a0043, utt_len: 751
utt_id: rms_a0044, utt_len: 665
utt_id: rms_a0045, utt_len: 543
utt_id: rms_a0046, utt_len: 703
utt_id: rms_a0047, utt_len: 757
utt_id: rms_a0048, utt_len: 489
utt_id: rms_a0049, utt_len: 603
utt_id: rms_a0050, utt_len: 815
utt_id: rms_a0051, utt_len: 853
utt_id: rms_a0052, utt_len: 419
utt_id: rms_a0053, utt_len: 669
utt_id: rms_a0054, utt_len: 325
utt_id: rms_a0055, utt_len: 889
utt_id: rms_a0056, utt_len: 581
utt_id: rms_a0057, utt_len: 475
utt_id: rms_a0058, utt_len: 827
utt_id: rms_a0059, utt_len: 437
utt_id: rms_a0060, utt_len: 429
utt_id: rms_a0062, utt_len: 533
utt_id: rms_a0063, utt_len: 591
utt_id: rms_a0064, utt_len: 693
utt_id: rms_a0066, utt_len: 437
utt_id: rms_a0067, utt_len: 499
utt_id: rms_a0068, utt_len: 515
utt_id: rms_a0069, utt_len: 713
utt_id: rms_a0070, utt_len: 649
utt_id: rms_a0071, utt_len: 519
utt_id: rms_a0072, utt_len: 323
utt_id: rms_a0073, utt_len: 747
utt_id: rms_a0074, utt_len: 621
utt_id: rms_a0075, utt_len: 495
utt_id: rms_a0076, utt_len: 513
utt_id: rms_a0077, utt_len: 457
utt_id: rms_a0078, utt_len: 571
utt_id: rms_a0079, utt_len: 303
utt_id: rms_a0080, utt_len: 321
utt_id: rms_a0082, utt_len: 391
utt_id: rms_a0083, utt_len: 525
utt_id: rms_a0084, utt_len: 831
utt_id: rms_a0086, utt_len: 473
utt_id: rms_a0087, utt_len: 675
utt_id: rms_a0088, utt_len: 805
utt_id: rms_a0089, utt_len: 515
utt_id: rms_a0090, utt_len: 505
utt_id: rms_a0091, utt_len: 563
utt_id: rms_a0092, utt_len: 803
utt_id: rms_a0093, utt_len: 503
utt_id: rms_a0094, utt_len: 793
utt_id: rms_a0095, utt_len: 797
utt_id: rms_a0096, utt_len: 817
utt_id: rms_a0098, utt_len: 301
utt_id: rms_a0099, utt_len: 567
utt_id: rms_a0100, utt_len: 425
utt_id: rms_a0101, utt_len: 499
utt_id: rms_a0102, utt_len: 343
utt_id: rms_a0103, utt_len: 605
utt_id: rms_a0104, utt_len: 749
utt_id: rms_a0105, utt_len: 797
utt_id: rms_a0106, utt_len: 939
utt_id: rms_a0107, utt_len: 477
utt_id: rms_a0108, utt_len: 763
utt_id: rms_a0109, utt_len: 607
utt_id: rms_a0111, utt_len: 749
utt_id: rms_a0112, utt_len: 363
utt_id: rms_a0113, utt_len: 663
utt_id: rms_a0114, utt_len: 555
utt_id: rms_a0115, utt_len: 735
utt_id: rms_a0117, utt_len: 729
utt_id: rms_a0119, utt_len: 459
utt_id: rms_a0120, utt_len: 691
utt_id: rms_a0121, utt_len: 669
utt_id: rms_a0122, utt_len: 677
utt_id: rms_a0123, utt_len: 535
utt_id: rms_a0124, utt_len: 707
utt_id: rms_a0126, utt_len: 649
utt_id: rms_a0127, utt_len: 529
utt_id: rms_a0128, utt_len: 759
utt_id: rms_a0129, utt_len: 439
utt_id: rms_a0130, utt_len: 393
utt_id: rms_a0131, utt_len: 559
utt_id: rms_a0132, utt_len: 557
utt_id: rms_a0133, utt_len: 959
utt_id: rms_a0134, utt_len: 529
utt_id: rms_a0135, utt_len: 735
utt_id: rms_a0136, utt_len: 911
utt_id: rms_a0138, utt_len: 803
utt_id: rms_a0139, utt_len: 999
utt_id: rms_a0140, utt_len: 635
utt_id: rms_a0141, utt_len: 731
utt_id: rms_a0142, utt_len: 643
utt_id: rms_a0143, utt_len: 593
utt_id: rms_a0144, utt_len: 755
utt_id: rms_a0145, utt_len: 707
utt_id: rms_a0146, utt_len: 691
utt_id: rms_a0147, utt_len: 919
utt_id: rms_a0148, utt_len: 681
utt_id: rms_a0149, utt_len: 905
utt_id: rms_a0150, utt_len: 397
utt_id: rms_a0151, utt_len: 853
utt_id: rms_a0152, utt_len: 625
utt_id: rms_a0153, utt_len: 953
utt_id: rms_a0154, utt_len: 803
utt_id: rms_a0155, utt_len: 395
utt_id: rms_a0156, utt_len: 741
utt_id: rms_a0157, utt_len: 761
utt_id: rms_a0158, utt_len: 293
utt_id: rms_a0159, utt_len: 757
utt_id: rms_a0160, utt_len: 655
utt_id: rms_a0161, utt_len: 729
utt_id: rms_a0162, utt_len: 625
utt_id: rms_a0163, utt_len: 425
utt_id: rms_a0164, utt_len: 821
utt_id: rms_a0165, utt_len: 583
utt_id: rms_a0166, utt_len: 773
utt_id: rms_a0167, utt_len: 475
utt_id: rms_a0169, utt_len: 599
utt_id: rms_a0170, utt_len: 697
utt_id: rms_a0171, utt_len: 727
utt_id: rms_a0172, utt_len: 705
utt_id: rms_a0173, utt_len: 567
utt_id: rms_a0174, utt_len: 499
